,sub,aux,remap
0,1,Left,Skip
1,1,Right,Skip
2,4,Left,Right
3,4,Right,Left
4,5,Left,Right
5,5,Right,Left
6,6,Left,Right
7,6,Right,Left
8,8,Left,Right
9,8,Right,Left
10,9,Left,Right
11,9,Right,Left
12,11,Left,Right
13,11,Right,Left
14,14,Left,Right
15,14,Right,Left
16,20,Left,Left
17,20,Right,Right
18,24,Left,Left
19,24,Right,Right
20,25,Left,Left
21,25,Right,Right
22,29,Audio,Left
23,29,Audio2,Right
24,30,Audio,Left
25,30,Audio2,Right
26,31,Audio,Left
27,31,Audio2,Right
28,33,Audio,Left
29,33,Audio2,Right
30,35,Audio,Left
31,35,Audio2,Right
32,38,Audio,Left
33,38,Audio2,Right
34,39,Audio,Left
35,39,Audio2,Right
36,40,Audio,Left
37,40,Audio2,Right
38,41,left,Right
39,41,right,Left
40,42,left,Right
41,42,right,Left
42,43,left,Right
43,43,right,Left
